,n_value,accuracy_1,accuracy_5,accuracy_10
554,2775,631,1128,1314
555,2780,631,1128,1314
556,2785,631,1128,1314
557,2790,631,1128,1314
558,2795,631,1128,1314
559,2800,631,1128,1314
560,2805,631,1128,1314
561,2810,631,1128,1314
562,2815,631,1128,1314
563,2820,631,1128,1314
564,2825,631,1128,1314
565,2830,631,1128,1314
566,2835,631,1128,1314
567,2840,631,1128,1314
568,2845,631,1128,1314
569,2850,631,1128,1314
570,2855,631,1128,1314
571,2860,631,1128,1314
572,2865,631,1128,1314
573,2870,631,1128,1314
574,2875,631,1128,1314
575,2880,631,1128,1314
576,2885,631,1128,1314
577,2890,631,1128,1314
578,2895,631,1128,1314
579,2900,631,1128,1314
580,2905,631,1128,1314
581,2910,631,1128,1314
582,2915,631,1128,1314
583,2920,631,1128,1314
584,2925,631,1128,1314
585,2930,631,1128,1314
586,2935,631,1128,1314
587,2940,631,1128,1314
588,2945,631,1128,1314
589,2950,631,1128,1314
590,2955,631,1128,1314
591,2960,631,1128,1314
592,2965,631,1128,1314
593,2970,631,1128,1314
594,2975,631,1128,1314
595,2980,631,1128,1314
596,2985,631,1128,1314
597,2990,631,1128,1314
598,2995,631,1128,1314
599,3000,631,1128,1314
600,3005,631,1128,1314
601,3010,631,1128,1314
602,3015,631,1128,1314
603,3020,631,1128,1314
604,3025,631,1128,1314
605,3030,631,1128,1314
606,3035,631,1128,1314
607,3040,631,1128,1314
608,3045,631,1128,1314
609,3050,631,1128,1314
610,3055,631,1128,1314
611,3060,631,1128,1314
612,3065,631,1128,1314
613,3070,631,1128,1314
614,3075,631,1128,1314
615,3080,631,1128,1314
616,3085,631,1128,1314
617,3090,631,1128,1314
618,3095,631,1128,1314
619,3100,631,1128,1314
620,3105,631,1128,1314
621,3110,631,1128,1314
622,3115,631,1128,1314
623,3120,631,1128,1314
624,3125,631,1128,1314
625,3130,631,1128,1314
