,n_value,accuracy_1,accuracy_5,accuracy_10
568,2845,631,1128,1310
569,2850,631,1128,1310
570,2855,631,1128,1310
571,2860,631,1128,1310
572,2865,631,1128,1310
573,2870,631,1128,1310
574,2875,631,1128,1310
575,2880,631,1128,1310
576,2885,631,1128,1310
577,2890,631,1128,1310
578,2895,631,1128,1310
579,2900,631,1128,1310
580,2905,631,1128,1310
581,2910,631,1128,1310
582,2915,631,1128,1310
583,2920,631,1128,1310
584,2925,631,1128,1310
585,2930,631,1128,1310
586,2935,631,1128,1310
587,2940,631,1128,1310
588,2945,631,1128,1310
589,2950,631,1128,1310
590,2955,631,1128,1310
591,2960,631,1128,1310
592,2965,631,1128,1310
593,2970,631,1128,1310
594,2975,631,1128,1310
595,2980,631,1128,1310
596,2985,631,1128,1310
597,2990,631,1128,1310
598,2995,631,1128,1310
599,3000,631,1128,1310
600,3005,631,1128,1310
601,3010,631,1128,1310
602,3015,631,1128,1310
603,3020,631,1128,1310
604,3025,631,1128,1310
605,3030,631,1128,1310
606,3035,631,1128,1310
607,3040,631,1128,1310
608,3045,631,1128,1310
609,3050,631,1128,1310
610,3055,631,1128,1310
611,3060,631,1128,1310
612,3065,631,1128,1310
613,3070,631,1128,1310
614,3075,631,1128,1310
615,3080,631,1128,1310
616,3085,631,1128,1310
617,3090,631,1128,1310
618,3095,631,1128,1310
619,3100,631,1128,1310
620,3105,631,1128,1310
621,3110,631,1128,1310
622,3115,631,1128,1310
623,3120,631,1128,1310
624,3125,631,1128,1310
625,3130,631,1128,1310
