STU_ID_PROXY,COURSE_CREDITS_REQ_bach,FACULTY_CODE_bach,LOCATION_CODE_bach,STUDY_YEAR_bach,N_SUBJECTS_bach,CODE_DESCR_bach,top5_bach_bach,COURSE_CODE,COURSE_CREDITS_REQ_mast,FACULTY_CODE_mast,LOCATION_CODE_mast,STUDY_YEAR_mast,N_SUBJECTS_mast,CODE_DESCR_mast,IS_GENDER_MALE,AGE_BAND,STATE,IS_INTERNATIONAL,HOME_LANGUAGE,ATAR_BAND,LANGUAGE_TEST_TYPE,LANGUAGE_TEST_SCORE
140156,300.0,300,U,2019,2,Bachelor of Commerce,BOC,,,,,,,,1,18,VIC,0,English,Band5 - 95.00 - 97.95,Not Entered, 
140492,300.0,300,U,2019,2,Bachelor of Commerce,BOC,,,,,,,,0,<18,WA,0,Not English,Band5 - 95.00 - 97.95,Not Entered, 
130630,300.0,702,U,2019,1,Bachelor of Environments,BOE,,,,,,,,0,<18,TAS,0,English,Band3 - 85.00 - 89.95,Tertiary English, 
130651,300.0,500,U,2019,8,Bachelor of Biomedicine,BOB,,,,,,,,1,18,VIC,0,Not English,Band6 - 98.00 - 99.85,Not Entered, 
139582,300.0,100,U,2019,5,Bachelor of Arts,BOA,,,,,,,,0,18,VIC,0,English,Band4 - 90.00 - 94.95,Tertiary English, 
131239,300.0,100,U,2019,5,Bachelor of Arts,BOA,,,,,,,,0,18,VIC,0,English,Band5 - 95.00 - 97.95,Not Entered, 
131292,300.0,300,U,2019,3,Bachelor of Commerce,BOC,,,,,,,,0,<18,,0,English,,Not Entered, 
131335,300.0,500,U,2019,8,Bachelor of Biomedicine,BOB,,,,,,,,0,20-21,,1,Not English,,Tertiary English, 
131493,100.0,603,U,2019,4,Bachelor of Science (Degree with Honours),BSC,,,,,,,,1,<18,VIC,0,Not English,Band4 - 90.00 - 94.95,Not Entered, 
131520,300.0,300,U,2019,3,Bachelor of Commerce,BOC,,,,,,,,1,<18,,0,English,Band5 - 95.00 - 97.95,Not Entered, 
131679,300.0,603,U,2019,9,Bachelor of Science,BSC,,,,,,,,1,<18,,0,English,Band4 - 90.00 - 94.95,Not Entered, 
139434,300.0,100,U,2019,4,Bachelor of Arts,BOA,,,,,,,,1,20-21,,1,English,,Not Entered, 
139417,300.0,603,U,2019,9,Bachelor of Science,BSC,,,,,,,,0,20-21,,1,Not English,,IELTS,7.5
131773,300.0,300,U,2019,6,Bachelor of Commerce,BOC,,,,,,,,1,<18,,1,Not English,,Not Entered, 
139400,300.0,100,U,2019,8,Bachelor of Arts,BOA,,,,,,,,1,18,VIC,0,English,Band6 - 98.00 - 99.85,Tertiary English, 
131780,300.0,100,U,2019,3,Bachelor of Arts,BOA,,,,,,,,0,<18,VIC,0,English,Band4 - 90.00 - 94.95,Not Entered, 
131837,300.0,300,U,2019,8,Bachelor of Commerce,BOC,,,,,,,,1,18,VIC,0,English,Band6 - 98.00 - 99.85,Not Entered, 
131878,300.0,100,U,2019,4,Bachelor of Arts,BOA,,,,,,,,1,18,VIC,0,English,Band2 - 80.00 - 84.95,Tertiary English, 
139337,300.0,500,U,2019,8,Bachelor of Biomedicine,BOB,,,,,,,,0,<18,,0,Not English,Band5 - 95.00 - 97.95,Not Entered, 
131893,300.0,300,U,2019,4,Bachelor of Commerce,BOC,,,,,,,,1,18,,1,Not English,,Not Entered, 
131957,300.0,603,U,2019,8,Bachelor of Science,BSC,,,,,,,,0,<18,VIC,0,English,Band2 - 80.00 - 84.95,Not Entered, 
131235,300.0,300,U,2019,8,Bachelor of Commerce,BOC,,,,,,,,1,18,,0,English,,Not Entered, 
130647,100.0,603,U,2019,4,Bachelor of Science (Degree with Honours),BSC,,,,,,,,0,30+,VIC,0,English,,Not Entered, 
131224,300.0,603,U,2019,8,Bachelor of Science,BSC,,,,,,,,1,18,VIC,0,English,Band3 - 85.00 - 89.95,Tertiary English, 
131189,300.0,100,U,2019,9,Bachelor of Arts,BOA,,,,,,,,0,20-21,,1,English,,Tertiary English, 
130684,100.0,300,U,2019,7,Bachelor of Commerce (Degree with Honours),BOC,,,,,,,,0,18,VIC,1,Not English,Band6 - 98.00 - 99.85,Tertiary English, 
130766,300.0,500,U,2019,9,Bachelor of Biomedicine,BOB,,,,,,,,0,<18,,0,Not English,Band6 - 98.00 - 99.85,Not Entered, 
130783,300.0,603,U,2019,1,Bachelor of Science,BSC,,,,,,,,0,18,,0,English,Band4 - 90.00 - 94.95,Not Entered, 
130804,100.0,300,U,2019,8,Bachelor of Commerce (Degree with Honours),BOC,,,,,,,,1,18,VIC,0,English,Band6 - 98.00 - 99.85,Not Entered, 
139753,300.0,100,U,2019,9,Bachelor of Arts,BOA,,,,,,,,1,19,VIC,0,English,Band5 - 95.00 - 97.95,Not Entered, 
130869,300.0,300,U,2019,6,Bachelor of Commerce,BOC,,,,,,,,0,19,VIC,0,English,Band4 - 90.00 - 94.95,Not Entered, 
130879,300.0,100,U,2019,1,Bachelor of Arts,BOA,,,,,,,,1,18,VIC,0,English,Band3 - 85.00 - 89.95,Not Entered, 
130881,300.0,100,U,2019,9,Bachelor of Arts,BOA,,,,,,,,0,18,NSW,0,English,Band2 - 80.00 - 84.95,Not Entered, 
130893,300.0,603,U,2019,9,Bachelor of Science,BSC,,,,,,,,1,18,VIC,0,English,Band4 - 90.00 - 94.95,Tertiary English, 
130915,300.0,603,U,2019,7,Bachelor of Science,BSC,,,,,,,,1,18,VIC,1,Not English,Band5 - 95.00 - 97.95,Not Entered, 
139716,300.0,500,U,2019,8,Bachelor of Biomedicine,BOB,,,,,,,,0,<18,VIC,0,Not English,Band6 - 98.00 - 99.85,Not Entered, 
130926,300.0,100,U,2019,3,Bachelor of Arts,BOA,,,,,,,,0,20-21,VIC,0,Not English,Band1 - <80,Not Entered, 
139688,300.0,100,U,2019,3,Bachelor of Arts,BOA,,,,,,,,0,19,VIC,0,English,Band4 - 90.00 - 94.95,Tertiary English, 
130991,300.0,702,U,2019,2,Bachelor of Environments,BOE,,,,,,,,0,18,,1,English,,Not Entered, 
131154,300.0,300,U,2019,4,Bachelor of Commerce,BOC,,,,,,,,0,18,,1,Not English,,Not Entered, 
131185,300.0,603,U,2019,1,Bachelor of Science,BSC,,,,,,,,1,<18,,1,Not English,,Not Entered, 
131187,300.0,603,U,2019,2,Bachelor of Science,BSC,,,,,,,,0,18,VIC,0,English,Band4 - 90.00 - 94.95,Tertiary English, 
131220,300.0,603,U,2019,8,Bachelor of Science,BSC,,,,,,,,0,18,,1,Not English,,Tertiary English, 
132023,300.0,702,U,2019,4,Bachelor of Environments,BOE,,,,,,,,0,19,,1,Not English,,Not Entered, 
129078,300.0,100,U,2019,6,Bachelor of Arts,BOA,,,,,,,,0,18,,0,English,,Not Entered, 
129064,300.0,100,U,2019,2,Bachelor of Arts,BOA,,,,,,,,1,<18,VIC,0,Not English,Band4 - 90.00 - 94.95,Not Entered, 
126997,300.0,100,U,2019,1,Bachelor of Arts,BOA,,,,,,,,1,19,,1,English,,Not Entered, 
127065,100.0,603,U,2019,4,Bachelor of Science (Degree with Honours),BSC,,,,,,,,0,25-29,VIC,0,English,,Not Entered, 
141176,300.0,500,U,2019,5,Bachelor of Biomedicine,BOB,,,,,,,,1,18,,1,English,,Not Entered, 
127122,300.0,300,U,2019,2,Bachelor of Commerce,BOC,,,,,,,,1,18,VIC,0,English,Band3 - 85.00 - 89.95,Not Entered, 
141140,300.0,603,U,2019,4,Bachelor of Science,BSC,,,,,,,,1,19,,1,English,,Not Entered, 
127155,300.0,603,U,2019,1,Bachelor of Science,BSC,,,,,,,,0,<18,VIC,1,Not English,Band3 - 85.00 - 89.95,Not Entered, 
127157,300.0,300,U,2019,2,Bachelor of Commerce,BOC,,,,,,,,1,18,VIC,0,Not English,Band5 - 95.00 - 97.95,Tertiary English, 
141126,300.0,300,U,2019,5,Bachelor of Commerce,BOC,,,,,,,,0,18,,1,Not English,,Tertiary English, 
127184,300.0,100,U,2019,6,Bachelor of Arts,BOA,,,,,,,,0,19,VIC,0,English,Band4 - 90.00 - 94.95,Tertiary English, 
